O9G_000001	PITH domain-containing protein
O9G_003668	Elongator complex protein 4 domain-containing protein
O9G_003669	Paired amphipathic helix domain-containing protein
O9G_003670	hypothetical protein
O9G_003671	Homeo-like domain-containing protein
O9G_003672	Nucleotidyl transferase domain-containing protein
O9G_003673	Rad4 beta-hairpin 3 domain-containing protein
O9G_003674	hypothetical protein
O9G_003675	Alpha/beta hydrolase family domain-containing protein
O9G_003678	hypothetical protein
O9G_003679	hypothetical protein
O9G_003680	hypothetical protein
O9G_003681	hypothetical protein
O9G_003682	Activator of Hsp90 ATPase domain-containing protein
O9G_003683	Myosin head, motor domain-containing protein
O9G_003684	hypothetical protein
O9G_003685	hypothetical protein
O9G_003686	hypothetical protein
O9G_003687	Leo1-like protein domain-containing protein
O9G_003688	hypothetical protein
O9G_003689	Ubiquitin-conjugating enzyme E2 35
O9G_003690	hypothetical protein
O9G_003691	Rap GTPase activating proteins domain-containing protein
O9G_003692	hypothetical protein
O9G_003693	hypothetical protein
O9G_003695	hypothetical protein
O9G_003696	Cytochrome c
O9G_003697	hypothetical protein
O9G_003698	NPL4, zinc-binding putative domain-containing protein
O9G_003699	hypothetical protein
O9G_003700	hypothetical protein
O9G_003701	hypothetical protein
O9G_003702	Guanylate kinase/L-type calcium channel domain-containing protein
O9G_003703	hypothetical protein
O9G_003704	Transketolase-like, pyrimidine-binding domain-containing protein
O9G_003705	hypothetical protein
O9G_003706	DNA replication factor RFC1 domain-containing protein
O9G_003707	hypothetical protein
O9G_003708	Ribosomal protein L24e-related domain-containing protein
O9G_003709	hypothetical protein
O9G_003710	Protein kinase, catalytic domain-containing protein
O9G_003711	hypothetical protein
O9G_003712	HSP20-like chaperone domain-containing protein
O9G_003713	hypothetical protein
O9G_003714	hypothetical protein
O9G_003715	RNA recognition motif domain-containing protein
O9G_003716	hypothetical protein
O9G_003717	hypothetical protein
O9G_003718	hypothetical protein
O9G_003719	hypothetical protein
O9G_003720	hypothetical protein
O9G_003721	PA26 p53-induced protein (sestrin) domain-containing protein
O9G_003722	hypothetical protein
O9G_003723	hypothetical protein
O9G_003724	Caleosin domain-containing protein
O9G_003726	Nucleic acid-binding domain-containing protein
O9G_003727	EF-Hand 1, calcium-binding site domain-containing protein
O9G_003728	hypothetical protein
O9G_003729	ABC transporter domain-containing protein
O9G_003730	Guanine nucleotide-binding protein subunit beta-2-like 1
O9G_003731	Diphthamide synthesis DHP2, eukaryotic domain-containing protein
O9G_003732	Threonine synthase-like domain-containing protein
O9G_003733	hypothetical protein
O9G_003734	Thymidine kinase domain-containing protein
O9G_003735	Ubiquitin-like protein 5
O9G_003736	hypothetical protein
O9G_003737	hypothetical protein
O9G_003738	hypothetical protein
O9G_003739	hypothetical protein
O9G_003740	Ribulose-phosphate 3-epimerase domain-containing protein
O9G_003741	hypothetical protein
O9G_003742	hypothetical protein
O9G_003743	hypothetical protein
O9G_003744	hypothetical protein
O9G_003745	Zinc finger, C2H2 domain-containing protein
O9G_003746	hypothetical protein
O9G_003747	U3 small nucleolar RNA-associated protein 15 domain-containing protein
O9G_003748	hypothetical protein
O9G_003749	hypothetical protein
O9G_003750	hypothetical protein
O9G_003751	hypothetical protein
O9G_003753	hypothetical protein
O9G_003754	Glycosyl transferase, family 39 domain-containing protein
O9G_003755	hypothetical protein
O9G_003756	hypothetical protein
O9G_003757	hypothetical protein
O9G_003758	Peptidase M16, zinc-binding site domain-containing protein
O9G_003759	Oligosaccharide biosynthesis protein Alg14-like domain-containing protein
O9G_003760	Protein kinase, catalytic domain-containing protein
O9G_003761	ATPase, AAA-type domain-containing protein
O9G_003762	Clusterin-associated protein-1 domain-containing protein
O9G_003763	hypothetical protein
O9G_003764	hypothetical protein
O9G_003766	Like-Sm (LSM) domain-containing protein
O9G_003767	hypothetical protein
O9G_003768	Ureohydrolase domain-containing protein
O9G_003769	hypothetical protein
O9G_003770	hypothetical protein
O9G_003771	Glycine cleavage T-protein domain-containing protein
O9G_003772	hypothetical protein
O9G_003773	hypothetical protein
O9G_003774	Rho GTPase-activating protein domain-containing protein
O9G_003775	Mur ligase, central domain-containing protein
O9G_003776	Histone-binding protein RBBP4
O9G_003777	Histidine triad (HIT) protein domain-containing protein
O9G_003778	hypothetical protein
O9G_003779	hypothetical protein
O9G_003780	Regulator of G protein signaling domain-containing protein
O9G_003781	hypothetical protein
O9G_003782	Amino acid transporter domain-containing protein
O9G_003783	hypothetical protein
O9G_003784	hypothetical protein
O9G_003786	hypothetical protein
O9G_003787	Anaphase-promoting complex, subunit 10/DOC domain-containing protein
O9G_003788	V-ATPase proteolipid subunit domain-containing protein
O9G_003789	hypothetical protein
O9G_003790	Glucosamine/galactosamine-6-phosphate isomerase domain-containing protein
O9G_003791	hypothetical protein
O9G_003792	hypothetical protein
O9G_003793	Alpha-tubulin N-acetyltransferase domain-containing protein
O9G_003794	Rad21/Rec8-like protein domain-containing protein
O9G_003795	Mob1/phocein domain-containing protein
O9G_003796	hypothetical protein
O9G_003797	hypothetical protein
O9G_003798	Eukaryotic translation initiation factor 2 subunit gamma
O9G_003799	hypothetical protein
O9G_003800	hypothetical protein
O9G_003801	hypothetical protein
O9G_003802	hypothetical protein
O9G_003803	LPS-induced tumor necrosis factor alpha factor domain-containing protein
O9G_003804	hypothetical protein
O9G_003805	Developmentally-regulated GTP-binding protein 1
O9G_003806	Dynein heavy chain domain-containing protein
O9G_003808	Helicase-like, DEXD box c2 type domain-containing protein
O9G_003809	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain-containing protein
O9G_003810	ATPase, F1 complex, gamma subunit conserved site domain-containing protein
O9G_003811	Ribosomal protein S5 2-type fold domain-containing protein
O9G_003812	hypothetical protein
O9G_003813	hypothetical protein
O9G_003814	hypothetical protein
O9G_003815	hypothetical protein
O9G_003816	hypothetical protein
O9G_003817	hypothetical protein
O9G_003818	Fumarate hydratase, mitochondrial
O9G_003819	hypothetical protein
O9G_003820	hypothetical protein
O9G_003821	hypothetical protein
O9G_003822	RNA 3'-terminal phosphate cyclase type 2 domain-containing protein
O9G_003823	Zinc finger, RanBP2-type domain-containing protein
O9G_003824	hypothetical protein
O9G_003825	hypothetical protein
O9G_003826	hypothetical protein
O9G_003827	hypothetical protein
O9G_003828	Late secretory pathway protein AVL9 domain-containing protein
O9G_003830	hypothetical protein
O9G_003831	hypothetical protein
O9G_003832	hypothetical protein
O9G_003833	hypothetical protein
O9G_003834	Peptidase C19, ubiquitin-specific peptidase, DUSP domain-containing protein
O9G_003835	Endonuclease/exonuclease/phosphatase domain-containing protein
O9G_003836	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_003837	DNA-directed RNA polymerase III subunit RPC2
O9G_003838	Isovaleryl-CoA dehydrogenase, mitochondrial
O9G_003839	hypothetical protein
O9G_003840	Condensin complex subunit 2/barren domain-containing protein
O9G_003841	hypothetical protein
O9G_003842	hypothetical protein
O9G_003843	RmlC-like jelly roll fold domain-containing protein
O9G_003844	hypothetical protein
O9G_003845	hypothetical protein
O9G_003846	Sas10 domain-containing protein
O9G_003847	Protein kinase, ATP binding site domain-containing protein
O9G_003848	Mono-functional DNA-alkylating methyl methanesulfonate domain-containing protein
O9G_003849	hypothetical protein
O9G_003851	Cytoplasmic dynein 2 heavy chain 1 domain-containing protein
O9G_003852	tRNA-guanine(15) transglycosylase-like domain-containing protein
O9G_003853	Autophagy-related protein 5 domain-containing protein
O9G_003854	Mediator complex, subunit Med7 domain-containing protein
O9G_003855	hypothetical protein
O9G_003856	hypothetical protein
O9G_003857	hypothetical protein
O9G_003858	Peptidase M36, fungalysin domain-containing protein
O9G_003859	NAD(P)-binding domain-containing protein
O9G_003860	hypothetical protein
O9G_003861	hypothetical protein
O9G_003862	hypothetical protein
O9G_003863	hypothetical protein
O9G_003864	hypothetical protein
O9G_003865	Rap GTPase activating proteins domain-containing protein
O9G_003866	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_003867	hypothetical protein
O9G_003868	hypothetical protein
O9G_003869	hypothetical protein
O9G_003871	hypothetical protein
O9G_003872	hypothetical protein
O9G_003873	hypothetical protein
O9G_003874	DNA polymerase alpha/epsilon, subunit B domain-containing protein
O9G_003875	hypothetical protein
O9G_003876	Velvet factor domain-containing protein
O9G_003877	hypothetical protein
O9G_003878	Homeobox domain-containing protein
O9G_003879	Chloride channel, voltage gated domain-containing protein
O9G_003880	hypothetical protein
O9G_003881	Protein kinase, catalytic domain-containing protein
O9G_003882	hypothetical protein
O9G_003883	hypothetical protein
O9G_003884	Micro-fibrillar-associated protein 1 domain-containing protein
O9G_003885	Histone H4
O9G_003886	Inositol monophosphatase, metal-binding site domain-containing protein
O9G_003887	hypothetical protein
O9G_003888	hypothetical protein
O9G_003889	hypothetical protein
O9G_003890	Meiotic nuclear division protein 1 domain-containing protein
O9G_003891	hypothetical protein
O9G_003892	hypothetical protein
O9G_003893	hypothetical protein
O9G_003894	hypothetical protein
O9G_003895	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
O9G_003896	T-complex protein 1, theta subunit domain-containing protein
O9G_003897	hypothetical protein
O9G_003899	hypothetical protein
O9G_003900	hypothetical protein
O9G_003901	Peptidase M76, ATP23 domain-containing protein
O9G_003902	Mitochondrial import inner membrane translocase Tim16-like protein
O9G_003903	Tubulin-tyrosine ligase domain-containing protein
O9G_003904	PAS domain-containing protein
O9G_003905	HD domain-containing protein
O9G_003906	3'5'-cyclic nucleotide phosphodiesterase domain-containing protein
O9G_003907	hypothetical protein
O9G_003908	hypothetical protein
O9G_003909	EF-Hand 1, calcium-binding site domain-containing protein
O9G_003910	hypothetical protein
O9G_003911	hypothetical protein
O9G_003912	hypothetical protein
O9G_003913	Helicase-associated domain-containing protein
O9G_003914	hypothetical protein
O9G_003915	hypothetical protein
O9G_003916	hypothetical protein
O9G_003917	Cytochrome b5-like heme/steroid binding domain-containing protein
O9G_003918	Cactin domain-containing protein
O9G_003920	Proteasome, subunit alpha/beta domain-containing protein
O9G_003921	hypothetical protein
O9G_003922	hypothetical protein
O9G_003923	Serine hydroxymethyltransferase 2, mitochondrial
O9G_003924	Translation initiation factor 3 domain-containing protein
O9G_003925	hypothetical protein
O9G_003926	Sec23/Sec24, trunk domain-containing protein
O9G_003927	B9 domain-containing protein
O9G_003928	Pre-mRNA-processing protein PRP40 domain-containing protein
O9G_003929	Peptidase M1, membrane alanine aminopeptidase domain-containing protein
O9G_003930	hypothetical protein
O9G_003931	hypothetical protein
O9G_003932	hypothetical protein
O9G_003933	Peptidase C48, SUMO/Sentrin/Ubl1 domain-containing protein
O9G_003934	Protein kinase, catalytic domain-containing protein
O9G_003935	Zinc finger, RING-type domain-containing protein
O9G_003936	Vacuolar protein sorting-associate/Callose synthase domain-containing protein
O9G_003937	Cyclin PHO80-like domain-containing protein
O9G_003938	RNA polymerase Rpb7 domain-containing protein
O9G_003940	hypothetical protein
O9G_003941	hypothetical protein
O9G_003942	Protein kinase, catalytic domain-containing protein
O9G_003943	hypothetical protein
O9G_003944	hypothetical protein
O9G_003945	Histidine kinase-like ATPase, ATP-binding domain-containing protein
O9G_003946	hypothetical protein
O9G_003947	hypothetical protein
O9G_003948	Protein of unknown function DUF3661, vaculolar transmembrane domain-containing protein
O9G_003949	hypothetical protein
O9G_003950	hypothetical protein
O9G_003951	hypothetical protein
O9G_003952	hypothetical protein
O9G_003953	Ribosomal protein L14, bacterial-type domain-containing protein
O9G_003954	Cysteine-tRNA ligase domain-containing protein
O9G_003955	Ribosomal protein S16 domain-containing protein
O9G_003956	AP complex, mu/sigma subunit domain-containing protein
O9G_003957	TatD family domain-containing protein
O9G_003958	hypothetical protein
O9G_003959	NYN, limkain-b1-type domain-containing protein
O9G_003960	hypothetical protein
O9G_003961	hypothetical protein
O9G_003962	hypothetical protein
O9G_003963	Phosphoacetylglucosamine mutase-like protein
O9G_003964	hypothetical protein
O9G_003965	hypothetical protein
O9G_003966	hypothetical protein
O9G_003967	hypothetical protein
O9G_003969	hypothetical protein
O9G_003970	RmlC-like jelly roll fold domain-containing protein
O9G_003971	GPI mannosyltransferase domain-containing protein
O9G_003972	hypothetical protein
O9G_003973	hypothetical protein
O9G_003974	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_003975	hypothetical protein
O9G_003976	TPMT family domain-containing protein
O9G_003977	Protein phosphatase PP2A regulatory subunit A-like protein
O9G_003978	60S ribosomal protein L13a
O9G_003979	Phosphofructokinase domain-containing protein
O9G_003980	hypothetical protein
O9G_003981	Rad52/22 double-strand break repair protein domain-containing protein
O9G_003982	hypothetical protein
O9G_003983	Retinoic acid induced 16-like protein domain-containing protein
O9G_003984	hypothetical protein
O9G_003985	hypothetical protein
O9G_003986	Pyridoxal phosphate-dependent transferase domain-containing protein 3
O9G_003987	hypothetical protein
O9G_003988	Clathrin/coatomer adaptor, adaptin-like domain-containing protein
O9G_003992	Glutamyl-tRNA synthetase, class Ib domain-containing protein
